"npos_id","pos_id"
51,30
52,29
53,28
54,26
55,25
56,23
57,22
58,21
59,19
60,17
61,16
34,9
35,12
36,14
62,15
63,13
64,7
65,11
66,6
67,32
68,31
69,8
70,10
37,20
38,27
