"id","parent_id"
5534,NULL
5535,2420
5536,2421
5537,2421
5538,2421
5539,2421
5540,NULL
5541,2421
5542,2421
5543,2420
5544,2429
5545,2429
5546,2429
5547,2429
5548,2420
5549,2434
5550,2434
5551,2434
5552,2434
5553,2434
5554,2420
5555,2440
5556,2441
5557,2441
5558,2441
5559,2441
5560,2445
5561,2445
5562,2440
5563,2448
5564,2448
5565,2448
5566,2448
5567,2452
5568,2452
5569,2440
5570,2455
5571,2455
5572,2455
5573,2455
5574,2459
5575,2459
5576,2440
5577,2462
5578,2462
5579,2462
5580,2462
5581,2466
5582,2466
5583,2440
5584,2440
5585,2440
5586,2471
5587,2471
5588,2471
5589,2471
5590,2475
5591,2475
5592,2440
5593,2440
5594,2440
5595,2420
5596,2420
5597,2420
5598,2487
5599,2487
5600,2487
5601,2487
5602,2487
5603,2487
5604,2487
5605,2487
5606,2420
5607,2496
5608,2496
5609,2496
5610,2496
5611,2420
5612,2501
5613,2501
5614,2501
5615,2501
5616,2420
5617,2506
5618,2506
5619,2506
5620,2506
5621,2420
5622,2434
5623,2420
