"id","parent_id"
2420,NULL
2421,2420
2422,2421
2423,2421
2424,2421
2425,2421
2426,NULL
2427,2421
2428,2421
2429,2420
2430,2429
2431,2429
2432,2429
2433,2429
2434,2420
2435,2434
2436,2434
2437,2434
2438,2434
2439,2434
2440,2420
2441,2440
2442,2441
2443,2441
2444,2441
2445,2441
2446,2445
2447,2445
2448,2440
2449,2448
2450,2448
2451,2448
2452,2448
2453,2452
2454,2452
2455,2440
2456,2455
2457,2455
2458,2455
2459,2455
2460,2459
2461,2459
2462,2440
2463,2462
2464,2462
2465,2462
2466,2462
2467,2466
2468,2466
2469,2440
2470,2440
2471,2440
2472,2471
2473,2471
2474,2471
2475,2471
2476,2475
2477,2475
2478,2440
2479,2440
2484,2440
2485,2420
2486,2420
2487,2420
2488,2487
2489,2487
2490,2487
2491,2487
2492,2487
2493,2487
2494,2487
2495,2487
2496,2420
2497,2496
2498,2496
2499,2496
2500,2496
2501,2420
2502,2501
2503,2501
2504,2501
2505,2501
2506,2420
2507,2506
2508,2506
2509,2506
2510,2506
2511,2420
2514,2434
3741,2420
