"id","parent_id"
3837,NULL
3838,2229
3839,2231
3840,2231
3841,2231
3842,2231
3843,2231
3844,2231
3845,2229
3846,2240
3847,2240
3848,2240
3849,2240
3850,2229
3851,2245
3852,2245
3853,2245
3854,2245
3855,2245
3856,2245
3857,2229
3858,2252
3859,2253
3860,2253
3861,2253
3862,2253
3863,2257
3864,2257
3865,2252
3866,2260
3867,2260
3868,2260
3869,2260
3870,2264
3871,2264
3872,2252
3873,2267
3874,2267
3875,2267
3876,2267
3877,2271
3878,2271
3879,2252
3880,2274
3881,2274
3882,2274
3883,2274
3884,2278
3885,2278
3886,2252
3887,2252
3888,2252
3889,2252
3890,2284
3891,2284
3892,2284
3893,2284
3894,2288
3895,2288
3896,2252
3897,2252
3898,2292
3899,2292
3900,2292
3901,2292
3902,2252
3903,2229
3904,2229
3905,2229
3906,2300
3907,2300
3908,2300
3909,2300
3910,2300
3911,2300
3912,2300
3913,2300
3914,2229
3915,2309
3916,2309
3917,2309
3918,2309
3919,2229
3920,2314
3921,2314
3922,2314
3923,2314
3924,2229
3925,2319
3926,2319
3927,2319
3928,2319
3929,2229
3930,2229
